,NAME,G_LEFT_batter_Std,PA_LEFT_batter_Std,AB_LEFT_batter_Std,R_LEFT_batter_Std,H_LEFT_batter_Std,1B_LEFT_batter_Std,2B_LEFT_batter_Std,3B_LEFT_batter_Std,HR_LEFT_batter_Std,TB_LEFT_batter_Std,SO_LEFT_batter_Std,BB_LEFT_batter_Std,HBP_LEFT_batter_Std,SF_LEFT_batter_Std,SH_LEFT_batter_Std,RBI_LEFT_batter_Std,DP_LEFT_batter_Std,FB%_LEFT_batter_Std,GB%_LEFT_batter_Std,LD%_LEFT_batter_Std,POP%_LEFT_batter_Std,ISO_LEFT_batter_Std,AVG_LEFT_batter_Std,OBP_LEFT_batter_Std,SLG_LEFT_batter_Std,TAV_LEFT_batter_Std,BASES_VS_AB_LEFT_batter_Std
174,C.J. CRON,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
175,JOSE RAMIREZ,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
176,MARWIN GONZALEZ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
177,ADAM EATON,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
178,JAKE NOLL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
179,VICTOR ROBLES,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
180,GREG ALLEN,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0
181,ROBERTO PEREZ,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0
182,MELKY CABRERA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0
183,BRANDON NIMMO,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0
184,JOSH PHEGLEY,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.005,0.0
185,HUNTER RENFROE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0
186,ERIC LAUER,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
187,FRANMIL REYES,3,6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.002,0.0
188,JOEY LUCCHESI,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
189,NEIL WALKER,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
190,DERECK RODRIGUEZ,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
191,FRANCISCO MEJIA,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
192,KOLE CALHOUN,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
193,BUSTER POSEY,3,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.57,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
